"Name","Population","Area","Sovereign.state","Geographic.location"
" Alderney",2400,7.8," Guernsey
 United Kingdom","English Channel, Channel Islands"
" Anguilla",15423,91," United Kingdom","Caribbean Sea, Leeward Islands"
" Aruba",107635,180," Netherlands","Caribbean Sea, Leeward Antilles"
" British Virgin Islands",31148,151," United Kingdom","Caribbean Sea, Leeward Islands"
" Caribbean Netherlands",21133,127," Netherlands","Caribbean Sea"
" Cayman Islands",52560,264," United Kingdom","Caribbean Sea, Greater Antilles"
" Cook Islands[n 6]",10777,236," New Zealand","Pacific Ocean, Polynesia"
" Curaçao",145834,444," Netherlands","Caribbean Sea, Leeward Antilles"
" French Polynesia",274512,3827," France","Pacific Ocean, Polynesia"
" Guadeloupe",405500,1628," France","Caribbean Sea, Leeward Islands"
" Guam[n 5]",159914,544," United States","Pacific Ocean, Micronesia"
" Guernsey[n 8][4]",65345,78," United Kingdom","English Channel, Channel Islands"
" Jersey[n 10][6]",94949,116," United Kingdom","English Channel, Channel Islands"
" Martinique",403795,1128," France","Caribbean Sea, Leeward Islands"
" Montserrat",5164,102," United Kingdom","Caribbean Sea, Leeward Islands"
" New Caledonia",260166,18275," France","Pacific Ocean, Melanesia"
" Niue[n 6]",1269,260," New Zealand","Pacific Ocean, Polynesia"
" Norfolk Island",2182,36," Australia","Pacific Ocean, Melanesia"
" Northern Mariana Islands[n 5]",51395,464," United States","Pacific Ocean, Micronesia"
" Pitcairn Islands",48,47," United Kingdom","Pacific Ocean, Polynesia"
" Saint Barthélemy",7332,21," France","Caribbean Sea, Leeward Islands"
" Collectivity of Saint Martin",30959,54.4," France","Caribbean Sea, Leeward Islands"
" Sint Maarten",39088,34," Netherlands","Caribbean Sea, Leeward Islands"
" Tokelau[n 6]",1368,12," New Zealand","Pacific Ocean, Polynesia"
" Turks and Caicos Islands",46335,948," United Kingdom","Caribbean Sea, Greater Antilles"
" U.S. Virgin Islands[n 5]",105275,346," United States","Caribbean Sea, Leeward Islands"
" Wallis and Futuna",15289,264," France","Pacific Ocean, Polynesia"
" Antigua and Barbuda",86295,440,NA,"Caribbean Sea, Leeward Islands"
" Barbados",285000,430,NA,"Caribbean Sea, Windward Islands"
" Dominica",71293,754,NA,"Caribbean Sea, Lesser Antilles"
" Federated States of Micronesia",101351,702,NA,"Pacific Ocean, Micronesia"
" Fiji",859178,18274,NA,"Pacific Ocean, Melanesia"
" Grenada",110000,344,NA,"Caribbean Sea, Windward Islands"
" Kiribati",98000,811,NA,"Pacific Ocean, Micronesia"
" Marshall Islands",62000,181,NA,"Pacific Ocean, Micronesia"
" Nauru",13635,21,NA,"Pacific Ocean, Micronesia"
" Palau",20000,459,NA,"Pacific Ocean, Micronesia"
" Saint Kitts and Nevis",51300,261,NA,"Caribbean Sea, Leeward Islands"
" Saint Lucia",173765,616,NA,"Caribbean Sea, Windward Islands"
" Saint Vincent and the Grenadines",120000,389,NA,"Caribbean Sea, Windward Islands"
" Samoa",179000,2831,NA,"Pacific Ocean, Polynesia"
" Solomon Islands",523000,28400,NA,"Pacific Ocean, Melanesia"
" Tonga",104000,748,NA,"Pacific Ocean, Polynesia"
" Tuvalu",12373,26,NA,"Pacific Ocean, Polynesia"
" Vanuatu",243304,12190,NA,"Pacific Ocean, Melanesia"
