"jurisdiction_description","beach_url","n"
"Samoa","http://www.flightcentre.co.nz/global-images/blog-images/South-Pacific/samoa-beach-fale.jpg",7967
"Panama","https://imagesus-ssl.homeaway.com/mda01/fe04b2a9-7fdc-42d1-9491-418ffc2e45ea.1.10",12333
"Nevada","https://i.ytimg.com/vi/IoQtqBfrXXc/hqdefault.jpg",355
"United Kingdom","http://thumbs.dreamstime.com/z/cawsand-beach-cornwall-england-united-kingdom-rame-peninsula-overlooking-plymouth-sound-holiday-makers-enjoying-summer-33049119.jpg",105
"Singapore","https://upload.wikimedia.org/wikipedia/commons/6/62/PalawanBeachSuspensionBridge-Sentosa-20060603.jpg",500
"Ras Al Khaimah","http://www.traveladept.com/wp-content/uploads/2014/08/BT-RAK.jpg",2
"British Anguilla","http://cache4.asset-cache.net/gc/513010243-beach-anguilla-lesser-antilles-british-gettyimages.jpg?v=1&c=IWSAsset&k=2&d=85%2BY9HN1B4bJoJs77Y%2BAP967ooEwFpr2afyQTHh2Ahts8E%2B%2B97D6jGPgYQAfTgH8S7%2FlHkHIOJBYEeVTNPn%2FKQ%3D%3D",1868
"Seychelles","http://cache2.asset-cache.net/gc/10162276-young-woman-tanning-on-beach-seychelles-gettyimages.jpg?v=1&c=IWSAsset&k=2&d=57A5pIxzdavQRDtWpHGZWQooDP8PXLn9ajWG%2F4joNYNZd33r3TumuS3XbE1qcvkmgFaEZ2k2j%2BDJdtyRlG8CJg%3D%3D",6275
"Niue","https://s-media-cache-ak0.pinimg.com/736x/d9/d4/35/d9d4351c6c7b10e3610fef2ccb6137be.jpg",14
"Uruguay","https://static-secure.guim.co.uk/sys-images/Travel/Pix/pictures/2013/12/19/1387466350191/A-beach-at-Punta-del-Este-008.jpg",6
"British Virgin Islands","http://gallery.egyptsons.com/data/media/23/Snorkeling%20the%20Baths,%20British%20Virgin%20Islands.jpg",50821
"Hong Kong","http://sassyhongkong.com/wp-content/uploads/2012/05/800px-Tai_Long_Wan_2010.jpg",557
"New Zealand","http://wallpaperswide.com/download/new_zealand_beach_mount_taranaki_view-wallpaper-1920x1200.jpg",26
"Bahamas","http://www.wallpapersxl.com/wallpapers/1920x1080/beautiful-home/1920855/beautiful-home-bahamas-beach-back-to-1920855.jpg",2017
"Cyprus","https://s-media-cache-ak0.pinimg.com/originals/dc/df/52/dcdf5222efba92e6793f525c2b831187.gif",30
"Malta","http://www.telegraph.co.uk/content/dam/Travel/Destinations/Europe/Malta/Malta-beach-cove--xlarge.jpg",28
"Belize","http://www.gannett-cdn.com/-mm-/1087b756466b49494ada30736569e56e4b81d278/c=0-104-2129-1307&r=x384&c=704x381/local/-/media/USATODAY/Experience%20Beach/2014/11/13/635514922732333990-483716811.jpg",98
"Wyoming","http://image1.masterfile.com/getImage/600-02371390em-Beach-Spring-Yellowstone-National-Park-Wyoming-USA.jpg",34
"Costa Rica","https://i.ytimg.com/vi/hd7Gr1kBur4/hqdefault.jpg",74
"Cayman","http://www.irgcayman.com/upimages/ckeditor/1401830548_Offshorepicture.jpg",423
"Labuan","http://media.gettyimages.com/photos/plastic-trash-pollution-on-beach-picture-id187997939",308
"Marshall Islands","https://s-media-cache-ak0.pinimg.com/736x/e7/5d/ce/e75dce7b05d1599222a2f873acd10811.jpg",5
"Mauritius","http://www.telegraph.co.uk/incoming/article56350.ece/ALTERNATES/w460/Grand-Baie-beach.jpg",65
"St. Lucia","http://www.telegraph.co.uk/incoming/article49823.ece/ALTERNATES/w460/beach1.jpg",3
"Malaysia","http://cache1.asset-cache.net/gc/102854848-young-woman-walks-on-a-beach-in-malaysia-gettyimages.jpg?v=1&c=IWSAsset&k=2&d=jWzm9BZz9mowpdEUA5s8Km%2FFpf8kOVvBAtbh3hFR4ZX6ZXXGqCiPrY0iJYXh717K",70
"Dubai","https://inspirock.s3.amazonaws.com/ds10/photos/United%20Arab%20Emirates/f/jumeira-beach-and-park--2109526413.jpg",2
"Vanuatu","https://inspirock.s3.amazonaws.com/ds10/photos/Vanuatu/f/champagne-beach--722856413.jpg",3
"Cook Islands","http://media.fclmedia.com/global-images/fc/destinations/cook-islands/content/beach.jpg",597
"Bermuda","http://travelchannel.sndimg.com/content/dam/images/travel/fullset/2014/12/3/top-10-caribbean-beaches-horseshoe-bay-bermuda.jpg.rend.tccom.1280.960.jpeg",3
"United States Of America","http://c8.alamy.com/comp/B5HMAH/united-states-of-america-florida-miami-south-beach-mango-tropical-B5HMAH.jpg",2
"China","http://www.dailysquib.co.uk/files/chinesebeach2.jpg",1
"Thailand","http://miriadna.com/desctopwalls/images/max/The-beach-in-Thailand.jpg",1
"Netherlands","http://cache4.asset-cache.net/gc/154167663-netherlands-scheveningen-people-on-beach-gettyimages.jpg?v=1&c=IWSAsset&k=2&d=sN8Nso8yzr66%2Byt0jTT3RpLK%2BoN07%2FgvPhwGLpBsipM4RH5CN1CDgkzFlKhPSlCr",1
